"7250,0,0,0",,,,
"7493,0,0,0",,,,
"7250,0,0,0",,,,
"7620,0,0,0",,,,
"7493,0,0,0",,,,
"8505,0,0,0",,,,
"8505,0,0,0",,,,
"8768,0,0,0",,,,
"9715,1,1,0",,,,
"9928,1,2,0",,,,
"9438,1,3,0",,,,
"9636,1,4,0",,,,
"10570,1,5,0",,,,
"10117,1,6,0",,,,
"5130,1,7,0",,,,
"10695,1,8,0",,,,
"10184,1,9,0",,,,
"5130,1,10,0",,,,
"11289,0,0,0",,,,
"10336,1,1,0",,,,
"5130,1,2,0",,,,
"11360,1,3,0",,,,
"12284,1,4,0",,,,
"12284,1,5,0",,,,
"13650,1,6,0",,,,
"3068,1,7,0",,,,
"5130,1,8,0",,,,
"13321,1,9,0",,,,
"3042,1,10,0",,,,
